annotation_lbl,category,sentence
edge_fic_1823_7249.txt-942-61_edge_fic_1837_7358.txt-2123-38,Distantly Related,"I looked a moment though I was hotly engaged with two good swordsmen, in the expectation of seeing him fall; but, in a twinkling, he was out of sight, his blade rattling like hail, about the bayonets that hedged him in, as he passed in a circle of incessant fire, giving point and edge, at the same moment. || Despair lent vigor and swiftness to the horse and foot of Palmyra -- rage at the long continued contest -- revenge for all they had lost and endured, nerved the Roman arm, and gave a double edge to its sword."
edge_fic_1975_10598.txt-6073-22_edge_fic_1985_10731.txt-8264-5,Closely Related,"We walked the fifty yards up to a washy-looking razorback, and Tracker pointed to a couple of clear footprints at the edge of a dry claypool. "" || He pushed it over the edge and leaped after it."
edge_fic_1975_10598.txt-6073-22_edge_fic_1995_53078.txt-343-9,Distantly Related,"We walked the fifty yards up to a washy-looking razorback, and Tracker pointed to a couple of clear footprints at the edge of a dry claypool. "" || In European history, Teddy Warner was the cutting edge."
edge_fic_1987_23990.txt-44-12_edge_fic_1975_10598.txt-6073-22,Distantly Related,"I sensed their bad intent as they passed us, an unpleasant edge of excitement in their looks and greetings. || We walked the fifty yards up to a washy-looking razorback, and Tracker pointed to a couple of clear footprints at the edge of a dry claypool. """
edge_fic_1987_780087.txt-2935-4_edge_fic_1823_7249.txt-942-61,Closely Related,"Sammy rushed around the edge of the vat to a panel halfway across the room, exclaiming, "" I 'm going to get serum for my mate! "" || I looked a moment though I was hotly engaged with two good swordsmen, in the expectation of seeing him fall; but, in a twinkling, he was out of sight, his blade rattling like hail, about the bayonets that hedged him in, as he passed in a circle of incessant fire, giving point and edge, at the same moment."
edge_fic_1987_780087.txt-2935-4_edge_fic_1975_10598.txt-6073-22,Identical,"Sammy rushed around the edge of the vat to a panel halfway across the room, exclaiming, "" I 'm going to get serum for my mate! "" || We walked the fifty yards up to a washy-looking razorback, and Tracker pointed to a couple of clear footprints at the edge of a dry claypool. """
edge_fic_1987_780087.txt-2935-4_edges_nf_1854_750818.txt-2813-25,Identical,"Sammy rushed around the edge of the vat to a panel halfway across the room, exclaiming, "" I 'm going to get serum for my mate! "" || Soon, all along the now desolate shores of the Forth and Clyde, villas and pleasure grounds would be as thick as along the edges of the Dutch canals."
edge_fic_1994_41254.txt-44-18_edge_mag_1851_525821.txt-323-0,Closely Related,"Not a hair on that tail, which was at least two feet long and whipped over the edge of the sink like a wiry piece of rope. || edge of a steep slope of this rubbish, sending the stones at every step rolling and bounding into the depth below."
edge_fic_1994_41254.txt-44-18_edge_nf_1838_747585.txt-1283-14,Identical,"Not a hair on that tail, which was at least two feet long and whipped over the edge of the sink like a wiry piece of rope. || In about four hours we saw, crossing the valley and stopping on the edge of the desert, a single Arab."
edge_fic_2007_34283.txt-0-19_edge_mag_1990_342665.txt-15-8,Distantly Related,"@@8283 Chapter One ' MY ANCESTORS WERE COUNTRY SQUIRES ' The village of Hutton Le Moors lies on the edge of the Yorkshire Moors, a dozen miles from the small town of Pickering. || Gucci should be classic, but with an edge, "" she says. """
edge_mag_1832_564345.txt-20-16_edge_fic_1987_23990.txt-44-12,Distantly Related,"Just opposite to this, is Breakneck, which rises, almost perpendicularly, from the edge of the water, and seems the frowning guardian of the pass. || I sensed their bad intent as they passed us, an unpleasant edge of excitement in their looks and greetings."
edge_mag_1832_564345.txt-20-16_edge_mag_1851_525821.txt-323-0,Identical,"Just opposite to this, is Breakneck, which rises, almost perpendicularly, from the edge of the water, and seems the frowning guardian of the pass. || edge of a steep slope of this rubbish, sending the stones at every step rolling and bounding into the depth below."
edge_mag_1851_525821.txt-323-0_edge_mag_1990_342665.txt-15-8,Distantly Related,"edge of a steep slope of this rubbish, sending the stones at every step rolling and bounding into the depth below. || Gucci should be classic, but with an edge, "" she says. """
edge_mag_1851_525821.txt-323-0_edge_nf_1838_747585.txt-1283-14,Closely Related,"edge of a steep slope of this rubbish, sending the stones at every step rolling and bounding into the depth below. || In about four hours we saw, crossing the valley and stopping on the edge of the desert, a single Arab."
edge_mag_1979_480129.txt-32-13_edge_mag_1851_525821.txt-323-0,Distantly Related,"It has been estimated that one-fourth of the world now lives on this edge of survival. || edge of a steep slope of this rubbish, sending the stones at every step rolling and bounding into the depth below."
edge_mag_1990_342665.txt-15-8_edge_fic_1995_53078.txt-343-9,Distantly Related,"Gucci should be classic, but with an edge, "" she says. "" || In European history, Teddy Warner was the cutting edge."
edge_mag_1990_342665.txt-15-8_edge_mag_1832_564345.txt-20-16,Distantly Related,"Gucci should be classic, but with an edge, "" she says. "" || Just opposite to this, is Breakneck, which rises, almost perpendicularly, from the edge of the water, and seems the frowning guardian of the pass."
edge_mag_2002_414884.txt-39-4_edge_mag_1832_564345.txt-20-16,Identical,"In the diffusion shadow edge (the fuzzy area where shadow and light come together), this process screeches to a halt. || Just opposite to this, is Breakneck, which rises, almost perpendicularly, from the edge of the water, and seems the frowning guardian of the pass."
edge_nf_1827_747521.txt-883-28_edge_nf_1838_747585.txt-1283-14,Closely Related,"; then join A F, F G, and G H, and describe the pa-abohcal parts A I, and K H, and the under edge of the falling mould will be completed; the upper edge will be formed by drawing a line parallel to it, equal to the thickness of the rail. || In about four hours we saw, crossing the valley and stopping on the edge of the desert, a single Arab."
edge_nf_1838_747585.txt-1283-14_edge_fic_1975_10598.txt-6073-22,Identical,"In about four hours we saw, crossing the valley and stopping on the edge of the desert, a single Arab. || We walked the fifty yards up to a washy-looking razorback, and Tracker pointed to a couple of clear footprints at the edge of a dry claypool. """
edge_nf_1841_747926.txt-651-45_edge_fic_1987_780087.txt-2935-4,Closely Related,"Trees of medium and smaller size should be so interspersed with those of larger growth, as to break up all formal sweeps in the line produced by the tops of their summits, and occasionally, low trees should be planted on the outer edge of the mass, to connect it with the humble verdure of the surrounding sward. || Sammy rushed around the edge of the vat to a panel halfway across the room, exclaiming, "" I 'm going to get serum for my mate! """
edge_nf_1841_747926.txt-651-45_edge_mag_1979_480129.txt-32-13,Closely Related,"Trees of medium and smaller size should be so interspersed with those of larger growth, as to break up all formal sweeps in the line produced by the tops of their summits, and occasionally, low trees should be planted on the outer edge of the mass, to connect it with the humble verdure of the surrounding sward. || It has been estimated that one-fourth of the world now lives on this edge of survival."
edges_nf_1854_750818.txt-2813-25_edge_fic_1994_41254.txt-44-18,Closely Related,"Soon, all along the now desolate shores of the Forth and Clyde, villas and pleasure grounds would be as thick as along the edges of the Dutch canals. || Not a hair on that tail, which was at least two feet long and whipped over the edge of the sink like a wiry piece of rope."
edges_nf_1854_750818.txt-2813-25_edge_fic_2007_34283.txt-0-19,Closely Related,"Soon, all along the now desolate shores of the Forth and Clyde, villas and pleasure grounds would be as thick as along the edges of the Dutch canals. || @@8283 Chapter One ' MY ANCESTORS WERE COUNTRY SQUIRES ' The village of Hutton Le Moors lies on the edge of the Yorkshire Moors, a dozen miles from the small town of Pickering."
edges_nf_1854_750818.txt-2813-25_edge_mag_1832_564345.txt-20-16,Identical,"Soon, all along the now desolate shores of the Forth and Clyde, villas and pleasure grounds would be as thick as along the edges of the Dutch canals. || Just opposite to this, is Breakneck, which rises, almost perpendicularly, from the edge of the water, and seems the frowning guardian of the pass."
face_fic_1844_7135.txt-1091-19_face_mag_1834_554263.txt-165-90,Distantly Related,"Father Eustaquio followed her into a low ceiled chamber, where seated in a cane chair, with her face leaning upon her hand sat the lovely || They had stolen two days ' march upon the English army, before the Duke of Cumberland knew any thing of their movements: but when it was ascertained that they had aclually commenced their retreat, his courage and that of his army began to rise; it seemed to be the first time they had breathed freely for six weeks, during which a small and ill appointed force had carried the standard of Glenfinnin a hundred and fifty miles into the heart of England, in the face of a hostile people, and of an army which immeasurably exceeded theirs in discipline and numbers."
face_fic_1844_7135.txt-1091-19_face_news_2004_617201.txt-34-2,Distantly Related,"Father Eustaquio followed her into a low ceiled chamber, where seated in a cane chair, with her face leaning upon her hand sat the lovely || In the face of such statistics, researchers are exploring which children seem to survive -- even thrive -- after a divorce."
face_fic_1844_7135.txt-1091-19_face_nf_2004_775790.txt-28-16,Identical,"Father Eustaquio followed her into a low ceiled chamber, where seated in a cane chair, with her face leaning upon her hand sat the lovely || She kept her head tipped down so that her long dark blond hair fell over her face to hide the fact that part of her lower jaw was missing."
face_fic_1848_7193.txt-10499-29_face_news_1994_614387.txt-73-21,Identical,"I had escaped the grave -- I knew no more -- "" After a troubled sleep, broken by a frightful dream, -- in which I saw his face and the uplifted knife -- I woke once more, and became conscious that a woman's form was slumbering at my side. || So, wow, who-da thunk Georgia offensive coordinator Wayne "" Wild Man "" McDuffie, who once spit in the face of a reporter, could have gotten into a shouting match with Dogs offensive guard Steve Roberts?"
face_fic_1853_9040.txt-3170-14_face_fic_1827_7169.txt-1862-5,Identical,"She was amiable and good in all ways; the everlasting smile on her face did not belie her heart. || he gazed on the furrowed face of his parent; but the orbs of the old man were hot, burning, and dry as a fountain channel in the desert when the Simoon had passed -- a stern and melancholy darkness of mind was on them unbroken by a glimmer of light."
face_fic_1853_9040.txt-3170-14_face_fic_1848_7193.txt-10499-29,Identical,"She was amiable and good in all ways; the everlasting smile on her face did not belie her heart. || I had escaped the grave -- I knew no more -- "" After a troubled sleep, broken by a frightful dream, -- in which I saw his face and the uplifted knife -- I woke once more, and became conscious that a woman's form was slumbering at my side."
face_fic_1853_9158.txt-1194-47_face_fic_1841_7000.txt-850-9,Closely Related,"But for once the routiers kept faith -- the din ceased in the encampment, the lights went out one by one, and silence of dewy night fell over tent and bivouac as peacefully as if the deadliest of foes were not almost arrayed beneath it face to face. || Her voice died on her lips, and her face became colorless"
face_fic_1853_9158.txt-1194-47_face_fic_1853_9040.txt-3170-14,Closely Related,"But for once the routiers kept faith -- the din ceased in the encampment, the lights went out one by one, and silence of dewy night fell over tent and bivouac as peacefully as if the deadliest of foes were not almost arrayed beneath it face to face. || She was amiable and good in all ways; the everlasting smile on her face did not belie her heart."
face_fic_1853_9158.txt-1194-47_face_news_2004_617201.txt-34-2,Closely Related,"But for once the routiers kept faith -- the din ceased in the encampment, the lights went out one by one, and silence of dewy night fell over tent and bivouac as peacefully as if the deadliest of foes were not almost arrayed beneath it face to face. || In the face of such statistics, researchers are exploring which children seem to survive -- even thrive -- after a divorce."
face_fic_1854_9826.txt-2758-13_face_fic_1971_782006.txt-553-8,Identical,"echoed the other, smiling still, but with a darkening of the face the while. "" || Noting the expression on the young man's face she added sharply, "" Are you all right? """
face_fic_1971_782006.txt-553-8_face_fic_1827_7169.txt-1862-5,Identical,"Noting the expression on the young man's face she added sharply, "" Are you all right? "" || he gazed on the furrowed face of his parent; but the orbs of the old man were hot, burning, and dry as a fountain channel in the desert when the Simoon had passed -- a stern and melancholy darkness of mind was on them unbroken by a glimmer of light."
face_fic_1988_780086.txt-3273-17_face_fic_1844_7135.txt-1091-19,Identical,"As he talked, Endor sat up straighter, clenching the armrests of his throne, his face dark with anger. || Father Eustaquio followed her into a low ceiled chamber, where seated in a cane chair, with her face leaning upon her hand sat the lovely"
face_fic_1988_780086.txt-3273-17_face_fic_2003_28322.txt-2-8,Distantly Related,"As he talked, Endor sat up straighter, clenching the armrests of his throne, his face dark with anger. || Upstream where the forest thinned under the cliff face, a lone company of soldiers slogged wearily through the mud, heads down, shoulders hunched against the heavens ' fury."
face_fic_1988_780086.txt-3273-17_face_fic_2009_36542.txt-368-9,Identical,"As he talked, Endor sat up straighter, clenching the armrests of his throne, his face dark with anger. || Her pleading eyes, the expectant expression on her face -- I closed my own eyes."
face_fic_1996_54394.txt-2232-9_face_fic_1844_7135.txt-1091-19,Identical,"He smiled, his teeth white in his dark face. "" || Father Eustaquio followed her into a low ceiled chamber, where seated in a cane chair, with her face leaning upon her hand sat the lovely"
face_fic_1999_44469.txt-416-0_face_fic_1836_7053.txt-2406-25,Identical,"face; his neat mustache had flecks of gray in it. || The sick lady hastily drew the curtains of her bed between her and the group at the fire, and then throwing herself with her face on the pillow, murmured wildly, "" Save me!"
face_fic_2003_28322.txt-2-8_face_fic_1853_9158.txt-1194-47,Distantly Related,"Upstream where the forest thinned under the cliff face, a lone company of soldiers slogged wearily through the mud, heads down, shoulders hunched against the heavens ' fury. || But for once the routiers kept faith -- the din ceased in the encampment, the lights went out one by one, and silence of dewy night fell over tent and bivouac as peacefully as if the deadliest of foes were not almost arrayed beneath it face to face."
face_fic_2007_52469.txt-543-1_face_fic_1854_9826.txt-2758-13,Identical,"His face had a peculiar jut to it, as if it were sticking out from itself, and his leaning made it seem bigger than it was. || echoed the other, smiling still, but with a darkening of the face the while. """
face_mag_1834_554263.txt-165-90_face_fic_1841_7000.txt-850-9,Distantly Related,"They had stolen two days ' march upon the English army, before the Duke of Cumberland knew any thing of their movements: but when it was ascertained that they had aclually commenced their retreat, his courage and that of his army began to rise; it seemed to be the first time they had breathed freely for six weeks, during which a small and ill appointed force had carried the standard of Glenfinnin a hundred and fifty miles into the heart of England, in the face of a hostile people, and of an army which immeasurably exceeded theirs in discipline and numbers. || Her voice died on her lips, and her face became colorless"
face_news_1994_614387.txt-73-21_face_fic_1853_9158.txt-1194-47,Identical,"So, wow, who-da thunk Georgia offensive coordinator Wayne "" Wild Man "" McDuffie, who once spit in the face of a reporter, could have gotten into a shouting match with Dogs offensive guard Steve Roberts? || But for once the routiers kept faith -- the din ceased in the encampment, the lights went out one by one, and silence of dewy night fell over tent and bivouac as peacefully as if the deadliest of foes were not almost arrayed beneath it face to face."
face_news_1994_614387.txt-73-21_face_fic_1971_782006.txt-553-8,Identical,"So, wow, who-da thunk Georgia offensive coordinator Wayne "" Wild Man "" McDuffie, who once spit in the face of a reporter, could have gotten into a shouting match with Dogs offensive guard Steve Roberts? || Noting the expression on the young man's face she added sharply, "" Are you all right? """
face_news_1994_614387.txt-73-21_face_mag_1834_554263.txt-165-90,Distantly Related,"So, wow, who-da thunk Georgia offensive coordinator Wayne "" Wild Man "" McDuffie, who once spit in the face of a reporter, could have gotten into a shouting match with Dogs offensive guard Steve Roberts? || They had stolen two days ' march upon the English army, before the Duke of Cumberland knew any thing of their movements: but when it was ascertained that they had aclually commenced their retreat, his courage and that of his army began to rise; it seemed to be the first time they had breathed freely for six weeks, during which a small and ill appointed force had carried the standard of Glenfinnin a hundred and fifty miles into the heart of England, in the face of a hostile people, and of an army which immeasurably exceeded theirs in discipline and numbers."
face_news_2004_617201.txt-34-2_face_fic_1999_44469.txt-416-0,Distantly Related,"In the face of such statistics, researchers are exploring which children seem to survive -- even thrive -- after a divorce. || face; his neat mustache had flecks of gray in it."
face_news_2004_617201.txt-34-2_face_mag_1834_554263.txt-165-90,Identical,"In the face of such statistics, researchers are exploring which children seem to survive -- even thrive -- after a divorce. || They had stolen two days ' march upon the English army, before the Duke of Cumberland knew any thing of their movements: but when it was ascertained that they had aclually commenced their retreat, his courage and that of his army began to rise; it seemed to be the first time they had breathed freely for six weeks, during which a small and ill appointed force had carried the standard of Glenfinnin a hundred and fifty miles into the heart of England, in the face of a hostile people, and of an army which immeasurably exceeded theirs in discipline and numbers."
face_nf_2004_775790.txt-28-16_face_fic_1836_7053.txt-2406-25,Identical,"She kept her head tipped down so that her long dark blond hair fell over her face to hide the fact that part of her lower jaw was missing. || The sick lady hastily drew the curtains of her bed between her and the group at the fire, and then throwing herself with her face on the pillow, murmured wildly, "" Save me!"
fiction_fic_1997_42375.txt-311-4_fiction_fic_2002_32251.txt-33-14,Identical,"Among his books of fiction are In Silence There Are Ghosts (Baker Book House), a novel, and The Secrets of Barneveld Calvary (Baker Book House), a cycle of stories published earlier this year. || Gernsback opens his first editorial for Amazing by referring to the overwhelming number of fiction magazines at the time: "" Another fiction magazine! """
fiction_fic_2002_32251.txt-33-14_fiction_mag_1986_332364.txt-5-14,Identical,"Gernsback opens his first editorial for Amazing by referring to the overwhelming number of fiction magazines at the time: "" Another fiction magazine! "" || For example, in Books we talk about that distinctive American contribution to detective fiction, the hard-boiled hero."
fiction_fic_2002_32251.txt-33-14_fiction_nf_1997_773614.txt-641-8,Identical,"Gernsback opens his first editorial for Amazing by referring to the overwhelming number of fiction magazines at the time: "" Another fiction magazine! "" || Looking back, it seemed useful training for fiction, requiring him to present dramatic material in dramatic fashion."
fiction_mag_1829_553971.txt-99-6_fiction_fic_1997_42375.txt-311-4,Closely Related,"It occurs in fact and in fiction, and in either case it is of a high species. || Among his books of fiction are In Silence There Are Ghosts (Baker Book House), a novel, and The Secrets of Barneveld Calvary (Baker Book House), a cycle of stories published earlier this year."
fiction_mag_1829_553971.txt-99-6_fiction_fic_2002_32251.txt-33-14,Closely Related,"It occurs in fact and in fiction, and in either case it is of a high species. || Gernsback opens his first editorial for Amazing by referring to the overwhelming number of fiction magazines at the time: "" Another fiction magazine! """
fiction_mag_1834_564699.txt-298-31_fiction_mag_1965_488192.txt-74-58,Undecidable,"Thus, if we have no royal road to knowledge, we have, what is much more agreeable, a "" primrose path, "" strewed with the flowers of fiction, which leads not only to heaven, but to the summit of every || The revelations of the Twentieth Congress of the Soviet Communist Party threw a glaring light on some of the crevices; yet even the IChrushchey speech posed new questions rather than furnished answers Observing these new conflicts and taking part in them, defining the new questions and searching for answers to them by using the resources of fiction is a thrilling challenge The writer may have a tough time of it; his findings may not agree with official requirements, he may even touch a neuralgic point -- this does not change the writer's duty nor detract from the fascination of the job."
fiction_mag_1965_488192.txt-74-58_FICTION_fic_1994_54031.txt-0-3,Closely Related,"The revelations of the Twentieth Congress of the Soviet Communist Party threw a glaring light on some of the crevices; yet even the IChrushchey speech posed new questions rather than furnished answers Observing these new conflicts and taking part in them, defining the new questions and searching for answers to them by using the resources of fiction is a thrilling challenge The writer may have a tough time of it; his findings may not agree with official requirements, he may even touch a neuralgic point -- this does not change the writer's duty nor detract from the fascination of the job. || @@16031 Section: FICTION In the dream, I arrive at an airbase somewhere twenty years after having flown an airplane."
fiction_mag_1965_488192.txt-74-58_fiction_mag_1978_319925.txt-11-20,Identical,"The revelations of the Twentieth Congress of the Soviet Communist Party threw a glaring light on some of the crevices; yet even the IChrushchey speech posed new questions rather than furnished answers Observing these new conflicts and taking part in them, defining the new questions and searching for answers to them by using the resources of fiction is a thrilling challenge The writer may have a tough time of it; his findings may not agree with official requirements, he may even touch a neuralgic point -- this does not change the writer's duty nor detract from the fascination of the job. || Shaw spent five decades writing big movies and novels (The Young Lions, Lucy Crown) and unprofitable short fiction, because "" in a novel or a play you must be a whole man."
fiction_mag_1965_488192.txt-74-58_fictions_nf_1845_771333.txt-565-18,Identical,"The revelations of the Twentieth Congress of the Soviet Communist Party threw a glaring light on some of the crevices; yet even the IChrushchey speech posed new questions rather than furnished answers Observing these new conflicts and taking part in them, defining the new questions and searching for answers to them by using the resources of fiction is a thrilling challenge The writer may have a tough time of it; his findings may not agree with official requirements, he may even touch a neuralgic point -- this does not change the writer's duty nor detract from the fascination of the job. || If set forth only as a novel and pleasing fancy, it may be classed with other ingenious fictions, that are published without a thought of deception."
fiction_mag_1978_319925.txt-11-20_fiction_fic_2002_32251.txt-33-14,Identical,"Shaw spent five decades writing big movies and novels (The Young Lions, Lucy Crown) and unprofitable short fiction, because "" in a novel or a play you must be a whole man. || Gernsback opens his first editorial for Amazing by referring to the overwhelming number of fiction magazines at the time: "" Another fiction magazine! """
fiction_mag_1986_332364.txt-5-14_fictions_mag_1849_565817.txt-102-103,Closely Related,"For example, in Books we talk about that distinctive American contribution to detective fiction, the hard-boiled hero. || professions, that they afterwards learn, in some incidental way, from those who met the subject of the memoir in daily life, that he was cold and repulsive to his brethren; that the ardor of his devotion and the spirituality of his conversation and his written reflections, had much to do with an extraordinary nervous excitability, and that the mind, which seemed to rise and soar with an an gel's wing to the comprehension of things eternal and invisible, found its favorite arid constantly demanded stimulus, in tIie reading of extravagant and romantic fictions."
fiction_news_2004_661021.txt-44-32_fiction_mag_1829_553971.txt-99-6,Identical,"Martha Stewart awaits sentencing for lying to investigators; 28 top federal employees hold fake degrees; journalists at USA Today, The New York Times, and The Nation have presented fiction as fact. || It occurs in fact and in fiction, and in either case it is of a high species."
fiction_news_2004_661021.txt-44-32_fictions_nf_1845_771333.txt-565-18,Identical,"Martha Stewart awaits sentencing for lying to investigators; 28 top federal employees hold fake degrees; journalists at USA Today, The New York Times, and The Nation have presented fiction as fact. || If set forth only as a novel and pleasing fancy, it may be classed with other ingenious fictions, that are published without a thought of deception."
fiction_nf_1840_771215.txt-830-5_fiction_mag_1829_553971.txt-99-6,Identical,"that she should now prefer fiction and folly to the healthful writings of wise men. || It occurs in fact and in fiction, and in either case it is of a high species."
fiction_nf_1993_774078.txt-1934-42_Fiction_fic_1845_7183.txt-4153-10,Closely Related,"Against the mobile background of the never completely formalised relations between the law of obscenity and the social policing of pornography, and of the migration of specialist pornography's themes and figures into the circuits of a more generally disseminated educative fiction in the guise of ethical techniques for (sexual) self-improvement, our plan is to review the English Obscene Publications Act of 1959 and the 1960 case in which the new statute was to have received its definitive construction, Regina v. Penguin Books Ltd., popularly known as the trial of Lady Chatterley's Lover. || Views and Reviews in American History, Literature, &; Fiction, by W. G. Simms."
fiction_nf_2004_746778.txt-6-32_fiction_news_2004_661021.txt-44-32,Identical,"fiction affords "" (cover of The Corrections) and with the pleasures themselves, indeed so familiar that we rarely enquire into the state of mind that renders such responses to fiction possible. || Martha Stewart awaits sentencing for lying to investigators; 28 top federal employees hold fake degrees; journalists at USA Today, The New York Times, and The Nation have presented fiction as fact."
fictions_fic_1989_14343.txt-309-40_Fiction_mag_1851_555692.txt-245-8,Closely Related,"FIRST GIRL Yet, there is abundant evidence from their songs and cherished traditions that Australian aborigines are by no means destitute of some qualities in which civilized men glory, such as the power of inventing tragic and sarcastic fictions, the thirst for religious mystery, contempt for pain, and reverence for departed friends and ancestors. || // A book entitled "" Truth Stranger than Fiction, "" which lies at our elhoxv among other books written by ladies, has in some measure influenced the direction of our remarks upon female privilege and authorship."
fictions_mag_1849_565817.txt-102-103_fiction_mag_1829_553971.txt-99-6,Closely Related,"professions, that they afterwards learn, in some incidental way, from those who met the subject of the memoir in daily life, that he was cold and repulsive to his brethren; that the ardor of his devotion and the spirituality of his conversation and his written reflections, had much to do with an extraordinary nervous excitability, and that the mind, which seemed to rise and soar with an an gel's wing to the comprehension of things eternal and invisible, found its favorite arid constantly demanded stimulus, in tIie reading of extravagant and romantic fictions. || It occurs in fact and in fiction, and in either case it is of a high species."
fictions_nf_1845_771333.txt-565-18_fiction_fic_2002_32251.txt-33-14,Identical,"If set forth only as a novel and pleasing fancy, it may be classed with other ingenious fictions, that are published without a thought of deception. || Gernsback opens his first editorial for Amazing by referring to the overwhelming number of fiction magazines at the time: "" Another fiction magazine! """
fictions_nf_1845_771333.txt-565-18_fiction_nf_1840_771215.txt-830-5,Identical,"If set forth only as a novel and pleasing fancy, it may be classed with other ingenious fictions, that are published without a thought of deception. || that she should now prefer fiction and folly to the healthful writings of wise men."
fictions_nf_1845_771333.txt-565-18_fictions_mag_1849_565817.txt-102-103,Identical,"If set forth only as a novel and pleasing fancy, it may be classed with other ingenious fictions, that are published without a thought of deception. || professions, that they afterwards learn, in some incidental way, from those who met the subject of the memoir in daily life, that he was cold and repulsive to his brethren; that the ardor of his devotion and the spirituality of his conversation and his written reflections, had much to do with an extraordinary nervous excitability, and that the mind, which seemed to rise and soar with an an gel's wing to the comprehension of things eternal and invisible, found its favorite arid constantly demanded stimulus, in tIie reading of extravagant and romantic fictions."
gas_fic_1836_7053.txt-407-9_gas_mag_1846_555416.txt-42-18,Distantly Related,"a man to the skies, as surely as gas does a balloon, unless he is well provided with ballast. || A pint of oil when burned produces a pint and a quarter of water; a pound of gas, more than two and a half pounds of water."
gas_fic_1839_7023.txt-797-19_gas_news_2005_608686.txt-4-27,Closely Related,"Long wreaths of greens and paper roses, were suspended from the pillars of the hall, and the gas lights burned with a brilliancy which made every thing short of liquid rouge look pale. || American Electric Power said it will pay $81 million to settle a lawsuit and investigations by federal regulators who accused the utility's traders of manipulating natural gas prices."
gas_fic_2004_49256.txt-152-8_gas_mag_1835_554331.txt-58-8,Identical,"He was alone, lost in a green gas world of silence forever. || Clear as crystal) sparkling with carbonic acid gas, and effervescing quite as much as champagne, it was nevertheless miserably cold; and the first morning, what with the gas, and what with the low temperature of this cold iron water, it was about as much I could do to swallow it; and, for a few seconds, feeling as if it had sluiced my stomach completely by surprise, I stood hardly knowing what was about to happen; when, instead of my teeth chattering as I expected, I felt the water suddenly grow warm within my waistcoat, and a slight intoxication, or rather exhilaration, succeeded"
gas_mag_1835_554331.txt-58-8_gas_nf_1853_747976.txt-2095-28,Distantly Related,"Clear as crystal) sparkling with carbonic acid gas, and effervescing quite as much as champagne, it was nevertheless miserably cold; and the first morning, what with the gas, and what with the low temperature of this cold iron water, it was about as much I could do to swallow it; and, for a few seconds, feeling as if it had sluiced my stomach completely by surprise, I stood hardly knowing what was about to happen; when, instead of my teeth chattering as I expected, I felt the water suddenly grow warm within my waistcoat, and a slight intoxication, or rather exhilaration, succeeded || They are drawn to a small scale, embracing the whole area of the site, and on them are marked the existing boundary walls, sewers, gas and water mains, and all the new walls, drains, and water-pipes, and their proposed connection with the existing ones, so that the builder may see at a glance the extent of his operations. '"
gas_mag_1835_554331.txt-58-8_gas_nf_2007_747179.txt-166-2,Distantly Related,"Clear as crystal) sparkling with carbonic acid gas, and effervescing quite as much as champagne, it was nevertheless miserably cold; and the first morning, what with the gas, and what with the low temperature of this cold iron water, it was about as much I could do to swallow it; and, for a few seconds, feeling as if it had sluiced my stomach completely by surprise, I stood hardly knowing what was about to happen; when, instead of my teeth chattering as I expected, I felt the water suddenly grow warm within my waistcoat, and a slight intoxication, or rather exhilaration, succeeded || The international gas market is already beginning to recognize this, and, over the long term, it could be enormously dangerous for Russia."
gas_mag_1835_554331.txt-58-8_gases_mag_1992_395995.txt-193-16,Identical,"Clear as crystal) sparkling with carbonic acid gas, and effervescing quite as much as champagne, it was nevertheless miserably cold; and the first morning, what with the gas, and what with the low temperature of this cold iron water, it was about as much I could do to swallow it; and, for a few seconds, feeling as if it had sluiced my stomach completely by surprise, I stood hardly knowing what was about to happen; when, instead of my teeth chattering as I expected, I felt the water suddenly grow warm within my waistcoat, and a slight intoxication, or rather exhilaration, succeeded || Neither gas respects landfill boundaries: tests done in California have shown that illegal levels of gases accumulate not only over landfills but over nearby residential areas as well."
gas_mag_1846_555416.txt-42-18_gas_fic_1839_7023.txt-797-19,Closely Related,"A pint of oil when burned produces a pint and a quarter of water; a pound of gas, more than two and a half pounds of water. || Long wreaths of greens and paper roses, were suspended from the pillars of the hall, and the gas lights burned with a brilliancy which made every thing short of liquid rouge look pale."
gas_mag_1846_555416.txt-42-18_gas_news_2005_608686.txt-4-27,Closely Related,"A pint of oil when burned produces a pint and a quarter of water; a pound of gas, more than two and a half pounds of water. || American Electric Power said it will pay $81 million to settle a lawsuit and investigations by federal regulators who accused the utility's traders of manipulating natural gas prices."
gas_mag_1846_555416.txt-42-18_gas_nf_2007_747179.txt-166-2,Closely Related,"A pint of oil when burned produces a pint and a quarter of water; a pound of gas, more than two and a half pounds of water. || The international gas market is already beginning to recognize this, and, over the long term, it could be enormously dangerous for Russia."
gas_mag_1854_555930.txt-121-17_gas_fic_2004_49256.txt-152-8,Closely Related,"to an inadequate amount of fresh air, and also furnished no stinted supply of smoke or gas. || He was alone, lost in a green gas world of silence forever."
gas_mag_1854_555930.txt-121-17_gases_nf_1843_752682.txt-209-1,Closely Related,"to an inadequate amount of fresh air, and also furnished no stinted supply of smoke or gas. || Some gases are absorbed and condensed within the pores of the charcoal, into a space several hundred times smaller than they before occupied; and there is now no doubt they there become fluid, or assume a solid state."
